SKU,Position
GWAA0285,1
GWAA0305,2
GWAA0293,3
GWAA0312,4
GWAA0284,5
GWAA0294,6
GWAA0281,7
GWAA0303,8
GWAA0307,9
GWAA0314,10
GWAA0262,11
GWAA0302,12
GWAA0301,13
GWAA0313,14
GWAA0218,15
GWAA0278,16
GWAA0257,17
GWAA0220,18
GWAA0283,19
GWAA0295,20
GWAA0282,21
GWAA0287,22
GWAA0308,23
GWAA0292,24
GWAA0304,25
GWAA0208,26
GWAA0201,27
GWAA0300,28
GWAA0311,29
GWAA0203,30
GWAA0261,31
GWAA0275,32
GWAA0225,33
GWAA0299,34
GWAA0280,35
GWAA0297,36
GWAA0310,37
GWAA0223,38
GWAA0291,39
GWAA0288,40
GWAA0263,41
GWAA0260,42
GWAA0296,43
GWAA0289,44
GWAA0309,45
GWAA0298,46
GWAA0259,47
GWAA0286,48
GWAA0209,49
GWAA0290,50
GWAA0179,51
GWAA0276,52
GWAA0181,53
GWAA0180,54
GWAA0199,55
GWAA0272,56
GWAA0239,57
GWAA0258,58
GWAA0264,59
GWAA0268,60
GWAA0183,61
GWAA0240,62
GWAA0242,63
GWAA0246,64
GWAA0254,65
GWAA0277,66
GWAA0182,67
GWAA0184,68
GWAA0210,69
GWAA0213,70
GWAA0217,71
GWAA0221,72
GWAA0224,73
GWAA0235,74
GWAA0237,75
GWAA0243,76
GWAA0244,77
GWAA0252,78
GWAA0253,79
GWAA0265,80
GWAA0266,81
GWAA0271,82
GWAA0273,83
GWAA0274,84
GWAA0306,85
